rebl_item,percent_eco,i.fit,i.df,i.outfitMSQ,i.infitMSQ,i.outfitZ,i.infitZ,i.disc,eta,eta_se
foodLocal,0.4367436743674367,922.0887076508644,909,1.0143990183177827,0.999446421782671,0.3612944796547843,-0.011725911351154231,0.2933963623072441,NA,NA
foodLunchNoMeat,0.8261826182618262,1025.450196595471,909,1.128108027057724,0.9870261905204523,1.3892454561417795,-0.22945462206893788,0.1872424108862419,-2.7310647987960976,0.09207855527053788
foodMeat,0.0671067106710671,801.5464481542107,909,0.8817892718968214,0.9425759265558467,-0.6166186942249057,-0.5426727786154213,0.2669367444788345,1.9134063628421911,0.13263956395014662
foodOatMilk,0.1419141914191419,801.6655470983906,909,0.8819202938376134,0.9628674796768375,-1.0626780399716091,-0.5858853767254053,0.26857271899338736,1.0253398902314272,0.09800869939661985
foodTofu,0.17271727172717272,826.0643966818969,909,0.9087617125213387,0.9378739206362835,-0.9423692381503556,-1.1625877675878462,0.35281723840161533,0.771316810582465,0.09132803333274533
foodVegan,0.0165016501650165,509.07485731591476,909,0.5600383468821944,0.8845302807551356,-1.2067836278448585,-0.45158036458915884,0.2041969421586333,3.4112146928164693,0.25262310472412486
homeClothesCold,0.6941694169416942,890.4855647219081,909,0.9796320844025391,0.9705654200637102,-0.3557529813257895,-0.8598280675608279,0.2710522364252136,-1.9140425766931992,0.07761292372715332
homeClothesHang,0.38613861386138615,883.4671518929932,909,0.9719110581881114,0.9834209848854768,-0.6013482438185954,-0.57112357257729085,0.3258116280065571,-0.46076970648890253,0.07362734369154285
homeLightsOff,0.9306930693069307,1022.7247086900272,909,1.1251096905280829,0.8435175453021418,0.7704404322090271,-1.6885428963144173,0.17268382513810868,-3.8382287858554083,0.13190439924424108
packCarriedUtensils,0.11221122112211221,857.4440108337592,909,0.9432827401911542,0.9175128726974566,-0.39536212932460557,-1.1395464371858754,0.26949343880541166,1.3154436247633523,0.10723248685621527
packCompost,0.23102310231023102,852.7438287112022,909,0.9381120227846009,0.9561043076534741,-0.8068681935332581,-1.0226763107967787,0.30567603934950555,0.3696799877086427,0.08309090098108665
packContainerToRestaurant,0.030803080308030802,688.3434188313348,909,0.7572534860630746,0.9058855761414005,-0.8451969114911514,-0.550066276889753,0.14209219713057056,2.760047299691523,0.18813240259907146
packPickedUpLitter,0.49174917491749176,833.7463533270871,909,0.917212709930789,0.9493643742921319,-2.185083611723571,-1.9739190201353294,0.38238954169082834,-0.9498433946771858,0.07215442278965818
packPullRecycleFromTrash,0.0737073707370737,603.6605950813148,909,0.6640930638958359,0.8680717301645542,-2.1683195622183615,-1.4106272833518936,0.29378559683552097,1.807228155599603,0.12741901338294045
packRags,0.7667766776677668,906.2187247108931,909,0.9969402912111035,0.9619702059116428,-0.019653591269630098,-0.8972745044078836,0.2505702466405239,-2.326394494808892,0.0836323932219398
packReusableMug,0.40484048404840484,951.0155978333879,909,1.0462217797947062,1.0307630370653853,1.0503006909257935,1.1019098883925127,0.2712661733166377,-0.5494976089407884,0.07314704474868683
packReusedPaperPlasticBags,0.8602860286028603,849.1351771686749,909,0.934142109096452,0.8975784568004689,-0.596375233943479,-1.7040887152561655,0.2516524728574771,-3.011607058261233,0.09962391079896275
purchBuyNothing,0.10451045104510451,752.5964712957473,909,0.8279389123165537,0.9243488709990729,-1.2801505261819486,-0.9898180229575252,0.28422353766934944,1.4008326667457234,0.11030218818145071
socialDocumentary,0.23542354235423543,813.2231465132588,909,0.8946349246570504,0.9566029498795491,-1.4383953691414932,-1.0264834461911914,0.31569599667990644,0.34232115194826357,0.08262444474089009
socialGroup,0.0484048404840484,827.5333187748802,909,0.9103776884212104,0.9020388678883142,-0.34689217144790263,-0.7771809920148057,0.17978873947240037,2.2749692966722037,0.15309691920771618
socialRead,0.49944994499449946,860.3956590663987,909,0.9465298779608347,0.971069687432435,-1.3963048679995653,-1.1161712648139783,0.366287435518811,-0.9848668478389259,0.07215785277839783
socialSupportive,0.08360836083608361,718.8860724426187,909,0.7908537650633869,0.8823403756753744,-1.3654799431140987,-1.3566972189723625,0.3041184031737671,1.6627433584575961,0.12083258322423042
waterShowerStop,0.15401540154015403,833.048257644007,909,0.9164447278811958,0.9596387071210492,-0.7808955619139173,-0.6803526151088448,0.2680093261770595,0.9209322778731974,0.0951144925661218
waterTeethStop,0.7953795379537953,891.2861906578029,909,0.9805128610096842,0.9623928931554832,-0.220937541099271,-0.7993796633798418,0.25508330580847616,-2.5109705969209957,0.08715036905691621
